AQC00914000         189P   169S   182S   181P   180P   162P   141P   141P   143S   176P   186P   183P
AQW00061705         173C   146C   168C   146C   133C   101C   104C    97C   103C   130C   143C   158C
CQC00914080          83P    79P    76P    74P    86P   107P   163P   171P   171P   167P   128P   102P
CQC00914801         105P    94P    78P    76P    87P   119P   172P   181P   181P   181P   143P   127P
CQC00914855          73P    68P    55P    67P    67P   102P   164P   171P   151P   167P   118P    93P
CQC00914874          85P    75P    71P    70P    82P   119P   179P   164P   174P   170P   140P   100P
FMC00914213         112P    79P   100P    94P   153P   169P   172P   180P   158P   150P   153P   141P
FMC00914325         125P   117P   141P   152P   159P   160P   163P   140P   124P   119P   125P   118P
FMC00914395         183P   151P   188P   199P   208P   201P   201P   183P   185P   155P   168P   187P
FMC00914419         146P   136P   144P   155P   178P   168P   181P   169P   136P   149P   145P   146P
FMC00914429         138P   114P   110P   124P   159P   199P   199P   192P   187P   176P   176P   156P
FMC00914446         119P   114P   104P   105P   135P   160P   175P   182P   168P   163P   153P   127P
FMC00914482         153P   123P   146P   168P   187P   196P   196P   187P   174P   183P   186P   166P
FMC00914585         122P   115P    98P   106P   139P   175P   183P   174P   165P   158P   142P   143P
FMC00914590         150P   136P   166P   170P   176P   165P   166P   148P   140P   136P   143P   140P
FMC00914705         211P   176P   204P   202P   228P   245P   237P   245P   230P   234P   219P   207P
FMC00914720         149P   119P   146P   155P   178P   181P   168P   180P   166P   165P   150P   162P
FMC00914761         112P    85P    86P   119P   145P   162P   145P   134P   122P   119P   119P   109P
FMC00914808         124P   120P   102P   117P   156P   174P   187P   187P   174P   166P   161P   158P
FMC00914831         113P   107P    96P    91P   132P   166P   176P   174P   175P   145P   145P   137P
FMC00914892          97P    90P    79P    94P   122P   156P   167P   173P   142P   144P   141P   115P
FMC00914898         180P   145P   190P   214P   211P   214P   203P   178P   176P   170P   184P   188P
FMC00914911         127P    97P   117P   121P   158P   165P   159P   150P   139P   142P   130P   127P
FMW00040308         117C   100C    90C   101C   131C   180C   181C   176C   160C   164C   150C   126C
FMW00040504         157C   133C   153C   185C   206C   211C   207C   203C   182C   193C   184C   186C
FMW00040505         132C   101C   119C   139C   166C   177C   175C   174C   160C   161C   160C   150C
GQC00914001          90P    71P    67P    71P    95P   115P   178P   195P   159P   179P   164P   126P
GQC00914025          91P    85P    73P    73P    93P   124P   168P   186P   156P   154P   144P   128P
GQC00914156         114P    99P    96P   101P   116P   159P   206P   204P   181P   176P   154P   140P
GQC00914468          91P    77S    66S    68P   100P   126S   182P   194P   170P   177P   158P   122P
GQC00914950          82P    66P    61P    57P    56P    74P   141P   169P   128P   130P   112P    76P
GQW00041415          99C    92C    84C    79C    94C   140C   185C   193C   190S   175S   158S   128S
JQW00021603          39P    36P    42P    44P    30P    30P    42P    47P    58P    73P    75P    62P
MQW00022701          93P    82P    58P    51P    40P    32P    53P    75P    74P    65P    58P    73P
PSC00914519         168P   141P   143P   129P   169P   209P   196P   167P   148P   185P   172P   181P
PSW00040309         152C   129C   125C   121C   173C   193C   182C   155C   146C   162C   163C   169C
RMC00913915         108P    78P    96P   108P   155P   159P   169P   156P   135P   159P   148P   133P
RMC00914304         132P    94P   123P   128P   147P   162P   182P   138P   147P   137P   150P   149P
RMC00914487         131P    99P   121P   134P   153P   144P   161P   152P   139P   146P   141P   155P
RMC00914903          58P    45P    50P    65P    86P    96P    93P    88P   114P   124P   130P    93P
RMW00040604          70C    61C    68C    91C   108C   134C   151C   161C   153C   169C   158C   122S
RMW00040710         117C    97C   106C   116C   140C   157C   167C   162C   166C   167C   169C   160C
RQC00660040          42S    42S    45C    70C    78S    61S    57C    86S   118S   119S    71S    46S
RQC00660053          51P    41S    53S    81S    94S    69S    82S   107S   126S   115S    79S    51S
RQC00660061          53C    47C    63C    98S   113C    76C   104C   118C   139C   140C   102C    64S
RQC00660152          35S    34C    26S    31C    63S    66S    65S    62S    74S    82S    60C    41S
RQC00660158          96P    74P    62P    75P    86P    62P    81P    78P   104P    96P    93P    91P
