AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
CAW00064757           0Q     0Q     0Q     0Q     1Q    12Q    25Q    13Q     3Q -7777Q     0Q     0Q
CQC00914080         164R   121R   138P   195R   246R   244R   236R   236R   222R   226R   214R   178R
CQC00914801         211R   175R   217R   243R   281R   291R   281R   271R   263R   273R   258R   248R
FMC00914395         250P   231P   257P   254P   267P   257P   262P   268P   258P   268P   252P   248P
FMC00914419         301P   272P   304P   294P   308P   297P   302P   304P   301P   308P   304P   307P
FMC00914446         294P   263P   305P   327P   346P   313P   293P   281P   282P   302P   307P   310P
FMC00914482         222P   198P   229P   224P   233P   219P   214P   236P   216P   225P   218P   222P
FMC00914720         296P   286P   310P   297P   316P   303P   301P   305P   295P   307P   288P   308P
FMC00914761         295P   267P   308P   290P   302P   288P   295P   287P   284P   302P   300P   302P
FMC00914831         253P   225P   273P   283P   304P   274P   273P   271P   261P   281P   276P   268P
FMC00914892         316P   281P   324P   339P   355P   328P   325P   325P   328P   352P   345P   333P
FMC00914898         282P   270P   294P   274P   296P   278P   293P   291P   285P   301P   291P   287P
FMC00914911         294P   256P   282P   291P   298P   278P   287P   281P   275P   293P   288P   298P
FMW00040308         316S   284S   329S   340S   363S   328S   327S   321S   316S   336S   327S   330S
FMW00040504         268C   249C   284S   275S   285S   271S   273S   277S   266S   274S   267S   271S
FMW00040505         285S   260S   299S   294S   313S   293S   295S   288P   283P   295P   294S   298S
GQC00914025         226P   197P   240P   269P   307P   304P   285P   279P   276P   288P   268P   254P
GQW00041415         254C   223C   270C   297C   327C   319C   305C   291C   283S   299S   295C   285C
JQW00021603         195P   179P   205P   223P   268P   307P   341P   360P   342P   325P   260P   220P
PSC00914519         218P   199P   230P   253P   267P   242P   242P   248P   247P   245P   245P   243P
PSC00914712         220P   192P   229P   246P   254P   216P   223P   236P   240P   251P   249P   234P
PSW00040309         291S   259S   301S   311S   321S   288S   287S   295S   293S   312S   312S   308S
RMW00040604         301C   277S   319S   315S   333S   314S   319S   324S   317S   327C   309C   310S
RMW00040710         299S   277C   312C   303C   321C   303C   313S   319S   312S   321S   307S   304S
RQC00660061       -7777R -7777S     1S     5R    19R    40R    44S    46S    38R    25S    13S     3R
RQC00660152         139S   127S   150S   191S   254S   282S   302S   315S   284R   268S   224S   169S
RQC00660158       -7777R -7777R     1R     7R    34R    58R    79R    90R    72R    52R    10R     2R
RQC00660410         100R    55R   103R   153R   212R   243R   270R   274R   270R   246R   170R   125R
RQC00660426          32S    29S    53C    79S   131S   172S   186S   189S   179S   156S   104S    52S
RQC00661901           4R     3R    13R    29R    79R   132R   143R   140R   119R    95R    45R    11R
RQC00662336       -7777R -7777R -7777R -7777R -7777R     1R     2S     3S     3R     2R     1R     1R
RQC00662801          92S    82S   115S   153S   220S   243S   260S   270S   250S   226S   185S   117S
RQC00662934          50R    44R    80R   117R   180S   225R   234R   245S   221S   198R   133S    72R
RQC00663409          43R    54P    88R   147R   211R   243R   231R   256R   238R   185R   177R   115R
RQC00663431          60S    51S    75S   115S   179S   227S   248S   254S   230S   209S   146S    90S
RQC00663657         142R   132R   168R   210R   270R   303R   322R   319R   291R   282R   229R   183R
RQC00664193         191R   178R   206R   243S   295R   314R   343R   356R   321R   313S   267R   231R
RQC00664276          63S    57S    94S   146S   219S   255S   262S   274S   253S   236S   170S    98S
RQC00664702          64S    66S    91S   125S   180S   212S   231S   248S   230S   217C   158S   105S
RQC00665064          71S    67S   103S   153S   222S   255S   274S   277S   259R   240S   170S   102S
RQC00665097          90R    72S   110S   161S   232S   265S   284S   281S   260S   237S   182S   109R
RQC00665693         180R   161R   197R   243R   304R   335R   356R   347R   336R   325R   257R   215R
RQC00665807          78S    68R   102R   136R   203S   250S   264S   271S   252R   232S   165S   108R
RQC00665908           2R     1R     8R     8R    24R    55R    51R    65R    60R    41R    22R     5R
RQC00666073         113R   107S   140S   177S   229R   258R   281R   277R   271R   271S   217S   158R
RQC00666258         158R   129S   168S   213R   271S   310R   324S   339S   306R   288R   237R   183R
RQC00666992       -7777R     0R -7777R     0R -7777R -7777R -7777R -7777R -7777R -7777R -7777R -7777R
RQC00667292         157S   132S   160S   200S   259S   297S   321S   327S   296S   284S   231S   182S
RQC00668126         100Q   118Q   135Q   177Q   253Q   269Q   290Q   277Q   271Q   223Q   189Q   153Q
RQC00668306         112R   103R   146R   176R   245R   282R   293R   308R   287R   276R   200R   141R
RQC00668881         103R    88R   134R   168R   234R   256R   264R   259R   249R   239R   189R   137R
RQC00669521         114S   103S   138S   179S   240S   277S   293S   299S   288S   271S   203S   141S
RQC00669608          29R    19R    39R    68R   140R   165R   192R   194R   179R   163R   106R    52R
RQW00011603         117R   111R   141R   181S   226R   271R   274R   291R   273R   254R   209R   155R
RQW00011630         175R   154R   199R   235R   290R   325R   352R   361R   327R   313R   252R   209R
RQW00011641         174S   164S   214S   249S   307S   339S   353S   363S   345S   330S   256S   206S
USC00010063           0Q     0Q     0Q     1Q    27Q   103Q   200Q   200Q    60Q     4Q -7777Q     0Q
USC00010160           0S -7777S -7777S     3S    42S   155S   252S   224S    95S    10S     1S -7777S
USC00010178       -7777R -7777R     2R     7R    55R   192R   278R   266R   130R    17R     2R -7777R
USC00010252       -7777S -7777S     1S     6S    51S   165S   236S   229S   118S    19S     1S -7777R
USC00010260           0Q     0Q     0Q     2Q    17Q   101Q   203Q   191Q    52Q     3Q -7777Q     0Q
USC00010369           0S     0S -7777S     1S    23S   108S   188S   180S    64S     4S -7777S     0R
USC00010390           0R     0R -7777R     4R    39R   146R   232R   228R    92R     7R -7777R     0R
USC00010402       -7777S -7777S     1S    12S    88S   213S   281S   266S   150S    31S     4S     1S
USC00010425           0R -7777R -7777R     3R    47R   172R   259R   233R   104R    10R -7777R     0R
USC00010430       -7777R -7777R     1R     4R    60R   178R   265R   254R   129R    23R     1R -7777R
USC00010505       -7777R     0S     1R     4S    46S   173S   268S   256S   118S    13S     1R -7777R
USC00010583       -7777S -7777S     2S    15S    92S   219S   285S   280S   168S    36S     4S     1S
USC00010655           0S     0S -7777S     1S    29S   123S   198S   182S    65S     5S -7777S     0S
USC00010764           0S     0S -7777S     5S    50S   166S   264S   253S   113S    12S     1S -7777S
USC00011080       -7777S -7777C     2C     9C    74S   201C   267C   254C   139S    26S     3C     1C
USC00011084       -7777S     1S     3S    14S    78S   201S   278S   269R   144S    31S     4S     1S
USC00011099           0S     0S -7777S     1S    19S   105S   190S   168S    57S     3S -7777S     0S
USC00011301       -7777R -7777R     3R    12R    74R   209R   279R   269R   149R    26R     2R     1R
USC00011324           0R     0R -7777R     1R    23R   122R   203R   172R    77R     4R -7777R -7777R
USC00011490           0Q     0Q -7777Q -7777Q    16Q   106Q   205Q   187Q    58Q     3Q -7777Q     0Q
USC00011566       -7777R -7777R     2R    10R    66R   177R   267R   254R   122R    20R     2R     1R
USC00011620           0S -7777S     1S     6S    49S   164S   250S   230S   104S    13S     1S -7777S
USC00011694           0R -7777R     1R     3R    42S   147S   235S   215S    92S     9R -7777R -7777R
USC00011725       -7777R -7777R     1R     4R    44R   158R   228R   208R   101R    13S     1R -7777R
USC00011803       -7777R -7777R     1R     9R    68R   179R   251R   248R   145R    31R     3R     1R
USC00012096           0R     0R -7777R     1R    17R   101R   185R   177R    63R     3R -7777R -7777R
USC00012172           0C     0C     1S    21S   149S   287S   356S   356S   256S    78S     7S     1S
USC00012209           0Q     0Q -7777Q     4Q    28Q   131Q   222Q   224Q    80Q     7Q -7777Q -7777Q
USC00012245       -7777R -7777R     1S     6R    54R   164R   246R   238R   110R    13R     1R     1R
USC00012675       -7777S -7777S     3S    16S    97S   228S   293S   278S   167S    37S     4S -7777R
USC00012730       -7777S -7777S     3S    13R    89S   234S   319R   300S   165R    34R     4S -7777S
USC00012758       -7777R -7777R     2R    10R    73S   194S   262S   255S   140S    26S     2R     1R
USC00012813       -7777C -7777C     2C    15C   103C   238C   307C   299C   187C    45C     6C     1C
USC00012840           0R     0R     1R     2R    32R   126R   220R   208R    80R     9R -7777R     0R
USC00012883       -7777R -7777R     2R     7R    52R   182R   281R   258R   111R    13R     1R -7777R
USC00013043           0Q     0Q -7777Q     1Q    30Q   134Q   231Q   230Q    89Q     9Q -7777Q     0Q
USC00013105       -7777R -7777R     3R    10R    74R   187R   259R   243R   138R    24R     2R -7777R
USC00013154           0S -7777S -7777S     4S    45S   168S   270S   252S   104S    10S -7777S -7777S
USC00013160       -7777S -7777S     2S     7S    66S   200S   296S   287S   138S    20S     1S -7777S
USC00013251       -7777S -7777S     2R    11S    82S   210S   278R   263S   149S    29S     4S -7777S
USC00013511       -7777R -7777S     2S    11S    84C   233S   324C   314C   166S    30S     3S -7777R
USC00013519       -7777S -7777C -7777C     4C    47C   152S   227S   221S   111S    17S     1S -7777S
USC00013573           0R     0R -7777R     3R    36R   153R   250R   247R   100R     8R -7777R -7777R
USC00013575           0R     0R -7777R     4R    41R   157R   251R   244R   100R     8R     1R -7777R
USC00013620           0S -7777S     1S    10S    58S   185S   287S   284S   135S    22S     1S     0S
USC00013645           0S -7777S -7777S     2S    30S   127S   223S   215S    87S     7S -7777S -7777S
USC00013655           0Q -7777Q -7777Q     2Q    29Q   126Q   226Q   213Q    69Q     3Q     1Q     0Q
USC00013761       -7777R -7777R     3S    18S   112S   242S   305S   278S   156S    33S     4S -7777R
USC00013775           0R     0R -7777S     1S    23R   106S   191S   178S    63S     5R -7777S     0R
USC00013781           0Q     0Q -7777Q     6Q    51Q   182Q   285Q   270Q   121Q    14Q     1Q     0Q
USC00013816       -7777S -7777S -7777S     2S    34S   120C   185S   179S    79S     9S     1S -7777S
USC00014193       -7777S -7777S     1S    11S    70S   197R   271S   257S   137S    24S     2S     1S
USC00014226           0R -7777R -7777R     2R    34R   135R   226R   222R    91R     6R -7777R     0R
USC00014502           0R -7777R -7777R     2S    30R   125R   212R   194R    72R     8R     1R     0R
