AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00014798       -7777R -7777R     1R     8R    60R   187R   270R   262R   126R    16R     1R -7777R
USC00015121       -7777S -7777S     1S     7S    64S   187S   271R   254R   124R    18S     2S -7777S
USC00015140           0R     0R -7777R     1R    30R   144R   233R   212R   102R    13R -7777R     0R
USC00015439           0S -7777S     1S     6C    71S   200S   288S   276R   138S    20R     2C -7777R
USC00015553       -7777R -7777R -7777R     8R    67R   192R   277R   269R   126R    19R     2R -7777R
USC00015635           0S -7777S -7777S     4S    32S   129S   216S   209S    79S     6S -7777S -7777S
USC00015752           0Q     0Q     0Q     1Q    23Q   104Q   204Q   185Q    55Q     4Q -7777Q     0Q
USC00016000           0Q     0Q     2Q     8Q    39Q   150Q   243Q   224Q   105Q     7Q -7777Q     0Q
USC00016121           0S -7777S -7777R     3R    34R   136R   228R   220S    88S     8R -7777R -7777R
USC00016129           0S -7777S -7777R     2R    33R   134R   224R   206R    86R    10S     1R -7777S
USC00016196           0Q     0Q -7777Q     2Q    14Q   109Q   203Q   199Q    60Q     4Q -7777Q     0Q
USC00016478           0S -7777S     1S     3S    30S   121S   211S   204S    81S     8S -7777S -7777S
USC00016988       -7777S -7777S     2S    12S    83S   213S   282S   276S   158S    34S     4S     1S
USC00017020           0R     0R     1R     1R    30R   136R   216R   191R    84R     9R -7777R -7777R
USC00017025           0R     0R -7777R     3R    29R   129R   204R   177R    67R     7R -7777R     0R
USC00017131           0R     0R -7777R     4R    32R   129S   219R   210R    85R     8R     1R -7777R
USC00017157           0R -7777R     1R     5R    32R   119R   209R   209R    77S     5R -7777R     0S
USC00017207           0C -7777C -7777C     1S    20S   104C   178C   168C    58S     4C -7777C     0S
USC00017304           0S -7777C -7777S     2C    28R   131S   214S   203S    72S     5S -7777S -7777S
USC00017366       -7777R -7777S     2R     7S    77S   216S   299C   287C   153S    26R     2R -7777R
USC00017999           0S -7777S -7777S     3S    33S   132S   214S   195S    81S     9S     1S -7777S
USC00018024           0S     0S -7777S     2S    29S   129S   229S   210S    83S     7S     1S -7777S
USC00018178       -7777S -7777S     3S    11S    76S   199S   273S   267S   142S    23S     2S     1S
USC00018209       -7777S -7777S     1S     5S    60S   185C   268S   256C   124S    16S     1S -7777S
USC00018323       -7777S -7777S     1S     7S    68R   194R   270S   260S   138S    23S     2S -7777S
USC00018380       -7777S -7777S     2S    12S    86S   226S   322S   314S   164S    25S     3S     1S
USC00018438       -7777C -7777S     1C     4C    44C   160C   241C   222C   105S    16C     2C -7777S
USC00018469           0S     0S -7777S -7777S    16S    94S   176S   165S    57S     4S -7777S     0S
USC00018517       -7777R -7777S     1S     3S    44S   159S   250S   243S   106R    11R     1R -7777R
USC00018812           0Q     0Q     0Q -7777Q    13Q    87Q   200Q   177Q    54Q     1Q     0Q     0Q
USC00018859           0Q -7777Q     1Q     6Q    54Q   173Q   265Q   252Q   137Q    22Q     2Q     0Q
USC00018867       -7777R -7777R     2R     9R    58R   178R   248R   249R   120R    17R     2R -7777R
USC00018998           0R     0R -7777R     1S    25S   118S   202S   195S    77R     5R -7777R -7777R
USC00020060           0R     0R -7777R     5R    75R   247R   437R   411R   213R    26R -7777R     0R
USC00020080       -7777Q     1Q    22Q    83Q   247Q   457Q   598Q   572Q   437Q   180Q    22Q -7777Q
USC00020100           0C     0C     3C    42C   214C   443S   640C   598S   377S    87S     1S     0S
USC00020159           0S     0R     0S     0S     0S     0S -7777S -7777S     0S     0R     0S     0R
USC00020170           0Q     0Q     0Q     0Q     0Q -7777Q     1Q     0Q     0Q     0Q     0Q     0Q
USC00020287           0S     0S -7777S     6S    73S   268S   380S   316S   181S    22S -7777S     0S
USC00020288           0R -7777R     4R    38R   182R   405R   570R   536R   366R   114R     7R -7777R
USC00020404           0Q -7777Q     3Q    39Q   207Q   441Q   596Q   556Q   372Q    95Q     2Q     0Q
USC00020586           0R     0R     0R -7777R    17R   108R   238R   195R    73R     4R     0R     0R
USC00020632           0R -7777R     5R    44R   191R   402R   586R   558R   374R   131R    10R -7777R
USC00020670           0R     0R     0R     1R    31R   165R   286R   231R    87R     4R     0R     0R
USC00020672           0S -7777S     2R    21S   144S   353R   561R   521R   278R    46R     1R     0S
USC00020678           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USC00020683           0R     0R     0R -7777R    26R   165R   261R   201R    93R     3R     0R     0R
USC00020750           0S     0S     0S     0S     2S    24S    65S    29S     3S     0S     0S     0S
USC00020775           0R     0R     0R     1R    12R    92R   101R    39R    14R -7777R     0R     0R
USC00020808           0R     0R     0S     0S -7777S    16S    40S    20S     3S -7777S -7777S     0S
USC00020871           0R     0R     0R     0R -7777S     3S    10S     2S -7777S     0R     0R     0R
USC00020949           0S -7777S     2S    41S   207S   434S   639S   598S   366S    72S     1S     0S
USC00020958           0S     0S -7777S     3S    56S   234S   309S   243S   112S     6S     0S     0S
USC00021001           0S     0R     0R     0R     0R -7777S     1S -7777S     0S     0S     0R     0R
USC00021026           0R -7777R     2R    45R   213R   437R   617R   587R   372R    82R     2R     0R
USC00021050       -7777S     1S    14S    90S   319S   557S   749S   716S   472S   144C     8S     0S
USC00021169           0R     0R     0R     1R    27R   156R   329R   257R    73R     1R     0R     0R
USC00021231           0S     0S     0S -7777S     6S    66S   100S    47S    12S -7777S     0S     0S
USC00021248           0S     0S     0S -7777S     4S    47S   134S    80S    10S -7777S     0S     0S
USC00021282           0R -7777R     5R    37R   181S   402S   553S   516R   351R    96R     6R -7777R
USC00021306       -7777R -7777R     4R    50R   217R   449R   607R   564R   382R   100R     3R -7777R
USC00021314           0S -7777S     2S    38S   191S   415S   589S   546S   363S    88S     3S     0S
USC00021330           0S     0S     0S     1S    31S   180S   304S   266S   120S     7S -7777S     0S
USC00021353       -7777S -7777S     3S    28S   151S   367S   530S   491S   328S    87S     5S -7777S
USC00021357           0Q     0Q -7777Q     5Q    46Q   235Q   401Q   319Q   186Q    21Q -7777Q     0Q
USC00021514           0R     0R     3R    39S   203R   428R   573R   521R   359R    86R     3R     0R
USC00021574           0R     0R     0R     0R -7777R     7R    17R     4R -7777R     0R     0R     0R
USC00021614           0R     0R -7777R     2R    43R   202R   372R   324R   145R    14R -7777R     0R
USC00021654           0Q     0Q     0Q     0Q     6Q    62Q   162Q   127Q    26Q -7777Q     0Q     0Q
USC00021664           0R     0R     0S -7777R    10R    82R   101R    63R    29R     1R     0R     0R
USC00021849           0R     0R     1R    13R   131R   354R   450R   380R   218R    29R -7777R     0R
USC00021920           0R     0R     0R -7777R     3S    49S   141S    93R    16R -7777R     0R     0R
USC00022109           0S     0S -7777S -7777S    23S   134S   277S   237S   101S     8S -7777S     0S
USC00022140           0C     0C     0C     1S    19C   114C   126S    64S    27C     1S     0S     0S
USC00022329           0R     0R     0R -7777R     1R    28R    68R    26R     5R -7777R     0R     0R
USC00022434           0R -7777R     4R    36R   162R   373R   575R   572R   395R    99R     4R     0R
USC00022527           0R     0R     0R     0R     1R     9R    63R    39R     4R     0R     0R     0R
USC00022659           0R     0R -7777R     3R    57R   225R   290R   227R   123R    10R -7777R     0R
USC00022754           0S     0S     0S     1S    25S   165S   288C   235S    86S     3S     0S     0S
USC00022782           0Q -7777Q     9Q    40Q   219Q   444Q   603Q   570Q   397Q   110Q     6Q     0Q
USC00022790           0S -7777S    11S    87S   285R   525S   708R   685S   480R   159R     6S     0S
USC00022807           0R     0R     3R    38R   177R   407R   558R   513R   338R    84R     2R     0R
USC00023009           0R     0R     0R     0R     0R -7777R     1R -7777R     0R     0R     0R     0R
USC00023027           0R -7777R     7R    47R   203R   427R   581R   547R   381R   113R     7R -7777R
USC00023110           0Q     0Q     0Q -7777Q    35Q   171Q   181Q   146Q    92Q     2Q     0Q     0Q
USC00023150           0S     0C -7777C     4C    62S   243S   372S   312S   154S    12S -7777S     0S
USC00023160           0S     0S     0S     0S     0S -7777S -7777C -7777S     0S     0S     0S     0S
USC00023190           0S -7777S     4S    47S   211S   430S   583S   567S   395S   121S     5S     0S
USC00023250           0Q     0Q     0Q     0Q -7777Q    27Q   105Q    61Q     6Q     0Q     0Q     0Q
USC00023303           0R     0R     0R     0R -7777R    11R    51R    27R     2R     0R     0R     0R
USC00023393       -7777C -7777C    10S    72S   263C   498C   687S   663C   471C   150C     9C     0S
USC00023505           0R     0R     0R     1R    30R   172R   296R   232R   103R     8R -7777R     0R
USC00023596           0S     0S     0S     0S -7777S     2S    13S     2S -7777S     0S     0S     0S
USC00023668           0R -7777R     2R    19R   134R   346R   431R   361R   259R    54R     1R     0R
USC00023683           0S     0S     0S     0S     0R     0S -7777S     0S     0S     0S     0S     0S
USC00023828           0R     0R     0R     0R     0R -7777S     1R -7777S     0S     0R     0R     0R
USC00023961           0Q     0Q     0Q     0Q -7777Q     3Q    12Q     4Q -7777Q     0Q     0Q     0Q
USC00024053           0R     0R     0R -7777R     6R    75R   242R   214R    70R     1R     0R     0R
USC00024089           0C     0S     0S -7777S     3S    55S   164S   109S    19S -7777S     0S     0S
USC00024453           0S     0S -7777S     1S    33S   162S   245S   175S    71S     4S -7777S     0S
USC00024586           0R     0R     0R     0R -7777R    10R    51R    23R     3R -7777R     0R     0R
USC00024645           0R     0R -7777R     2R    39R   180R   329R   264R   114R    11R     0R     0R
USC00024675           0S     0S     0S -7777S     5S    43S    51S    20S    10R -7777R     0R     0S
USC00024686           0R     0R     0R -7777R     2R    32R    79R    48R     8R -7777R     0R     0R
USC00024702       -7777S     2S    20S    80S   244S   464S   620S   586S   432S   169S    19S -7777S
USC00024759           0R     1R    12R   105R   344R   588R   764R   742R   504R   154R     6R     0R
USC00024761           0R -7777R     9R    87R   326R   569R   770R   741R   489R   147R     4R     0R
USC00024829       -7777R -7777R     8R    71R   269R   504S   660R   617R   426R   128R     6R -7777R
USC00024849           0R     0R -7777R    10R   109R   341R   508R   406R   163R     8R     0R     0R
USC00024977           0R -7777R     4R    58R   236R   461R   631R   594R   391R   104R     2R     0R
USC00025129           0R     0R     0R     0R -7777R    21R    63R    29R     4R     0R     0R     0R
USC00025270           0C -7777C     3C    42C   219C   459C   640C   598C   386C    85C     2C     0C
USC00025412           0S     0S     0C     0S -7777C     1C     3S -7777C     0S     0S     0S     0S
USC00025426           0Q     0Q -7777Q    12Q   127Q   359Q   528Q   475Q   230Q    30Q -7777Q     0Q
USC00025512           0S     0S     1S    12S   101S   302S   418S   361R   224S    40S -7777S     0S
USC00025635           0S     0S     0S     1S    33S   163S   340S   288S   110S     4S     0S     0S
USC00025665           0R     0R     0R     1R    23R   150R   265R   169R    43R     1R     0R     0R
USC00025700           0R -7777R     5R    49R   222R   456R   580R   547R   390R   120R     8R -7777R
USC00025780           0R     0R     0R     0R     0R -7777R     3R -7777R     0R     0R     0R     0R
USC00025825           0Q     0Q     0Q     0Q     8Q    75Q   140Q   110Q    33Q -7777Q     0Q     0Q
USC00025924           0S     0S     0S -7777S    16S   131S   233S   187S    81S     4S     0S     0S
USC00026037           0R     0R     0S -7777R     4S    42S   110S    75S    17S -7777S     0S     0S
USC00026119           0C     0C -7777C     2C    48S   198S   251S   179R    92S     9S -7777S     0S
USC00026132           0S -7777S     6S    37S   157S   354S   527S   496S   350S    98S     4S     0S
USC00026180           0S     0S -7777S     1S    35S   193S   343S   255S    77S     1S     0S     0S
USC00026190           0Q     0Q     0Q     0Q     3Q    42Q   140Q    76Q    10Q -7777Q     0Q     0Q
USC00026194           0Q -7777Q    15Q    58Q   259Q   501Q   679Q   652Q   453Q   130Q     5Q     0Q
USC00026242           0Q     0Q     0Q     0Q     1Q    49Q    48Q    18Q     3Q     0Q     0Q     0Q
USC00026250           0R -7777R    10R    83R   284R   509R   688R   660R   457R   151R     7R     0R
USC00026353           0R     0R     0R     1R    21R   140R   203R   145R    51R     1R -7777R     0R
USC00026468           0S     0C     0C -7777S     3C    54C   138C    87C    15C -7777S     0C     0S
USC00026471           0S     0S     1S    36S   192S   431S   566S   468S   261S    35S -7777S     0S
USC00026513           0R -7777R     5R    59R   232R   467R   598R   539R   374R   109R     6R -7777R
USC00026597           0R     0R     0R     0R -7777R     3R     4R     1R -7777R     0R     0R     0R
USC00026601           0Q     0Q     0Q     0Q -7777Q     1Q     7Q     3Q -7777Q     0Q     0Q     0Q
USC00026603           0Q -7777Q     4Q    18Q   147Q   367Q   483Q   446Q   315Q    90Q     5Q     0Q
USC00026616           0S     0S     0S -7777S     4S    57C   179S   123S    18S -7777S     0S     0S
USC00026653           0R     0S     0S     0S -7777R    13S    65S    39S     4S -7777S     0R     0R
USC00026716           0S     0S     0S -7777S     1S    14S    25S     6S     1S     0S     0S     0S
USC00026796           0S     0S     0R -7777S     3S    38S   102S    58S    10S -7777S     0S     0S
USC00026840           0R     0R -7777R     7S    85S   282S   457S   415R   224R    25R -7777R     0R
USC00026865       -7777R -7777R    11R    79R   290R   527R   718R   676R   451R   129R     4R -7777R
USC00027281           0S     0S -7777S    14S   137S   370S   494S   440S   265S    39S -7777S     0S
USC00027370           0R -7777R     3R    48R   202S   438R   609R   557R   377R   110R     4R     0R
USC00027390           0S     0S -7777C     5C    72C   251C   350C   294C   147C    13C -7777S     0S
USC00027435           0S     0S     0S -7777S     3S    36S    91S    37S     3S -7777S     0S     0S
USC00027480           0R     0S -7777R    13R   120R   341R   464R   415R   250R    39R -7777R     0S
USC00027488           0S     0S     0S     0R -7777S    17S    81S    57S     7S     0S     0S     0S
USC00027560           0R     0R -7777R     1R    41R   195R   296R   235R   108R     5R -7777R     0R
USC00027593           0S     0R     1S     9R    72S   233R   251S   181R   125S    24R -7777R     0R
USC00027619           0S     0S -7777S     2C    38S   184S   264S   208S   122S    15S -7777R     0S
USC00027625           0R     0R     0R -7777R    22R   154R   267R   221R    89R     3R -7777R     0R
USC00027708           0S     0S -7777S     1S    34S   168S   291S   240S   102S     9S -7777S     0R
USC00027716           0S     0S     0S     0S     1S    27S    98S    65S     7S     0S     0S     0S
USC00027855           0S     0S     0C     0C     1C    23S    54C    22C     3C     0C     0S     0S
USC00027880           0R     0R -7777S     3R    43R   190R   217R   153R    79R     4R     0R     0R
USC00028012           0C     0C     0C     0C     1C    23C    81C    42C     5C     0C     0C     0C
USC00028018           0R     0R     0R     0R     1R    31R    90R    41R     9R -7777R     0R     0R
USC00028112           0S -7777S     3S    30S   158S   346R   510R   490R   317R    71R     1R     0R
USC00028162           0S     0S     0S     0S -7777S     3S     9S     2S -7777S     0S     0S     0R
USC00028214           0S     0S     2S    27S   163R   381R   553S   515R   337S    80R     2R     0R
USC00028329           0S     0S     0S     0S -7777S     3S     7S     2S -7777S     0S     0S     0S
USC00028348       -7777R -7777R     4R    36R   158R   384R   471R   428R   310R   108R     9R -7777R
USC00028396           0S -7777S     5S    48S   212S   420S   634S   628S   427S   115S     3S     0S
USC00028468           0S     0S     0S -7777S    14R   116S   235S   155S    29S -7777S     0R     0R
USC00028499           0S -7777S     4S    40S   190S   397S   559S   529S   357S    93S     4R -7777S
USC00028516           0R -7777R     3R    53R   249R   520R   717R   651R   381R    68R     1R     0R
USC00028619           0C     0C -7777C     4C    50C   199C   228C   164C    93C     9C -7777C     0S
USC00028641           0R -7777R     5R    41R   220R   442R   635R   601R   384R    89R     2R     0R
USC00028792           0R     0R     0R -7777R    13R    99R   222R   169R    37R -7777R -7777R     0R
USC00028795       -7777R -7777S     3S    40S   174S   394S   484S   420S   306S    82R     4R -7777R
USC00028796           0R -7777R     2R    22R   143S   359S   477S   437S   297S    59R     1R     0R
USC00028800           0R     0R     1R    19R   125R   347R   465R   423R   284R    58R     1R -7777R
USC00028815           0S -7777S     2S    34S   185S   403S   474S   426S   312S    74S     2S     0S
USC00028817       -7777R -7777R     2S    28S   166S   385S   494S   448S   314S    74S     3R     0R
USC00028865           0C     0S -7777S     2S    34C   185C   272S   211S   103C     7C -7777S     0S
USC00028904           0S     0R -7777S     2S    49S   207S   358S   297S   127R     8R -7777R     0R
USC00029114           0S     0S     0S     3S    60S   248S   420R   337R   126S     4S     0S     0R
USC00029156           0Q     0Q     0Q     0Q     1Q     9Q    34Q     8Q -7777Q     0Q     0Q     0Q
USC00029158           0C     0S     0C     0C -7777C    13S    60C    35C     3C -7777C     0C     0C
USC00029271           0R     0R     0R     0R     1S    31S    84S    42R     8R -7777R     0R     0R
USC00029287           0S     0S -7777S     5S    67S   235S   446S   411S   214S    27S -7777S     0S
USC00029309           0R     0R -7777R     9R    85R   258R   473R   433R   223R    33R -7777R     0R
USC00029334           0S     0S     0S -7777S    22S   146S   255S   195S    79S     3S -7777S     0S
USC00029359           0S     0C     0S     0S -7777C     5C    17C     5C -7777C     0C     0C     0S
USC00029376           0R -7777S    11R    88R   311R   547S   741S   691R   455R   136R     4R     0R
USC00029410           0R     0R     0R     0R -7777R     7R     9R     2R -7777R     0R     0R     0R
USC00029464           0Q -7777Q     3Q    32Q   200Q   423Q   601Q   570Q   357Q    96Q     2Q     0Q
USC00029542           0C     0S     0C -7777C    27S   150S   267S   184S    52S     1C     0C     0C
USC00029634           0S -7777S     7S    64S   258S   485S   656S   621S   427S   124S     5S     0S
USC00029645           0S -7777S     2S    26S   160S   384S   592S   544S   319S    61S     1S     0S
USC00029652           0R -7777R     6R    43R   186R   391R   595R   604R   426R   125R     5R -7777R
USC00029656       -7777R -7777R    13R    74R   237R   453R   635R   625R   427R   133R     7R -7777R
USC00030064           0S     0S -7777S     2S    41S   177S   267S   236S    71S     6S -7777S     0S
USC00030130           0S     0S -7777S     2S    22S   123S   234S   225S    77S     5S -7777S     0S
USC00030220           0R -7777R     1R     4R    44R   171S   275S   267S   107S    10S -7777R     0R
USC00030240           0S     0S     1S     8S    61S   199S   292S   270S   119S    15S -7777S -7777S
USC00030458           0S     0S -7777S     1S    17S    98S   206S   199S    58S     3S -7777S     0S
