USC00011694          37R    28R    30R    30R    29S    17S    11S    16S    26S    40R    35R    44R
USC00011725          43R    29R    28R    35R    28R    24R    19R    23R    31R    35S    43R    46R
USC00011803          42R    32R    32R    30R    28R    19R    14R    19R    32R    38R    45R    48R
USC00012096          46R    30R    28R    26R    30R    18R    14R    19R    23R    40R    33R    50R
USC00012172          38C    30C    26S    28S    17S    16C    16S    17C    16S    25S    34C    41S
USC00012245          41R    28R    28S    35R    25R    24R    19R    23R    29R    37R    29R    45R
USC00012675          40S    35S    33S    29S    24S    15S    10S    14S    20S    31S    36S    46R
USC00012730          37S    32S    34S    31R    28S    17S    13R    12S    19R    42R    37S    44S
USC00012758          41R    34S    36R    32S    28S    15S    10S    16S    23S    39S    39R    46S
USC00012813          40C    33C    31C    28C    22C    14C    13C    14C    19C    36C    39C    45C
USC00012840          46R    29R    27R    36R    38R    21R    10R    27R    26R    36R    35R    43R
USC00012883          47R    32R    29R    34R    36R    19R    16R    19R    28R    46R    35R    44R
USC00013105          43R    32R    34R    29R    22R    13R    13R    15R    23R    31R    34R    42R
USC00013154          41S    28S    32S    29S    30S    18S    12S    20S    24S    37S    39S    42S
USC00013160          36S    27S    36S    32S    28S    17S    13S    18S    26S    38S    32S    46S
USC00013251          44S    35S    34S    29S    26S    17S    10S    14S    24S    40S    41S    46S
USC00013511          39C    29C    29S    29S    27C    18S    11C    17C    23S    42S    40S    43S
USC00013519          39C    34C    32C    29C    30C    17S    13C    20C    23C    37C    38C    45C
USC00013573          40S    36S    29S    31S    29S    21S    18S    26S    24S    35S    33S    45S
USC00013575          41R    27R    26R    29R    28R    16R    11R    18R    21R    31R    30R    36R
USC00013620          45S    35S    36S    33S    30S    20S    13S    23S    24S    39S    35S    48S
USC00013645          45S    34S    32S    35S    35S    24S    17S    23S    29S    46S    37S    48S
USC00013761          42R    28R    29S    33S    28S    18S    16S    24S    24S    39S    37S    48R
USC00013775          40R    31R    31S    28S    32R    19S    14S    17S    25S    41R    35S    41R
USC00013816          43S    29S    33S    31S    27S    16C    13S    19S    25S    37S    37S    43S
USC00014193          39S    37S    29S    34S    26S    18S    13S    16S    27S    43S    39S    46S
USC00014226          41R    32R    29R    30R    34R    23R    17R    23R    29R    44R    37R    43R
USC00014502          39R    34R    34R    27S    36R    23R    17R    22R    28R    43R    39R    47R
USC00014798          40R    33R    32R    33R    32R    19R    12R    20R    27R    44R    39R    49R
USC00015121          40S    32S    31S    31S    30S    18S    13R    18R    28R    41S    38S    47S
