USC00011694          22R    24R    26R    23R    27S    30S    23S    25S    37S    40R    29R    22R
USC00011725          29R    30R    26R    25R    26R    30R    25R    24R    35R    34S    32R    27R
USC00011803          23R    24R    20R    19R    24R    22R    16R    17R    31R    32R    32R    24R
USC00012096          24R    32R    24R    25R    25R    31R    24R    26R    32R    37R    27R    22R
USC00012172          16C    15C    13S    11S    10S     9S    14S    11S    12S    11S    12S    21S
USC00012245          24R    24R    24S    27R    26R    31R    25R    25R    30R    34R    30R    29R
USC00012675          21S    25S    28S    21S    24S    26S    21S    19S    28S    27S    23S    23R
USC00012730          24S    26S    28S    25R    25S    29S    27R    23S    31R    39R    33S    27S
USC00012758          22R    25R    28R    21R    30S    25S    21S    24S    29S    38S    31R    23R
USC00012813          22C    22C    23C    18C    20C    20C    17C    12C    22C    27C    24C    21C
USC00012840          30R    35R    26R    22R    32R    34R    21R    22R    34R    32R    35R    22R
USC00012883          24R    29R    29R    24R    38R    33R    28R    28R    34R    46R    40R    23R
USC00013105          24R    22R    26R    21R    26R    23R    19R    17R    28R    29R    27R    24R
USC00013154          28S    26S    21S    24S    22S    26S    19S    21S    32S    37S    34S    26S
USC00013160          26S    31S    36S    25S    25S    28S    21S    22S    31S    36S    32S    26S
USC00013251          28S    27S    31R    22S    26S    26S    20R    17S    31S    36S    33S    28S
USC00013511          28R    38S    27S    23S    24C    30S    22C    24C    25S    38S    40S    34R
USC00013519          22S    26C    26C    22C    29C    26S    27S    26S    28S    37S    31S    25S
USC00013573          23R    29R    25R    25R    28R    27R    27R    27R    30R    34R    29R    20R
USC00013575          21R    26R    19R    20R    22R    25R    21R    22R    27R    30R    22R    24R
USC00013620          25S    25S    19S    18S    23S    25S    20S    25S    27S    28S    29S    18S
USC00013645          28S    33S    34S    29S    35S    36S    27S    33S    40S    49S    38S    26S
USC00013761          28R    26R    27S    25S    26S    28S    26S    30S    35S    35S    20S    26R
USC00013775          24R    31R    26S    21S    28R    29S    22S    23S    36S    38R    34S    23R
USC00013816          25S    27S    29S    24S    28S    30C    26S    24S    32S    39S    30S    23S
USC00014193          30S    30S    26S    28S    30S    25R    22S    23S    31S    40S    34S    30S
USC00014226          29R    33R    30R    25R    32R    36R    25R    25R    37R    43R    39R    26R
USC00014502          26R    34R    36R    25S    35R    36R    37R    22R    35R    43R    37R    37R
USC00014798          28R    45R    34R    27R    32R    32R    22R    21R    33R    49R    41R    35R
USC00015121          27S    28S    28S    19S    28S    27S    25R    21R    30R    39S    32S    29S
USC00015140          25R    24R    31R    25R    27R    27R    22R    20R    31R    31R    29R    29R
USC00015439          27S    29S    31S    26C    25S    32S    27S    26R    33S    41R    34C    25R
USC00015553          20R    29R    29R    25R    24R    35R    19R    22R    33R    43R    32R    27R
USC00015635          23S    25S    23S    23S    25S    27S    20S    23S    32S    37S    28S    23S
USC00016121          22S    35S    25R    24R    26R    30R    19R    25S    32S    39R    34R    22R
USC00016129          25S    35S    27R    27R    28R    30R    25R    20R    34R    42S    35R    30S
USC00016478          22S    32S    26S    24S    31S    32S    26S    27S    36S    46S    36S    27S
USC00016988          22S    25S    25S    23S    29S    23S    19S    21S    26S    35S    28S    23S
