USC00011694          37R    34R    35R    27R    21S    27S    24S    31S    28S    26R    34R    43R
USC00011725          38S    36S    35S    26S    22S    29R    23R    26R    24S    22S    30R    39R
USC00011803          30R    28R    28R    21R    13R    15R    14R    16R    15R    17R    30R    36R
USC00012096          42R    41R    35R    32R    26R    29R    23R    33R    27R    27R    37R    42R
USC00012172          34C    28C    25S    22S    16S    16S    13S    15S    11S    19S    28S    29S
USC00012245          41S    34C    33C    31C    25C    28C    20S    27S    21S    22S    32C    43S
USC00012675          35S    33S    36S    29S    22S    30S    25S    25S    24S    21S    34S    44R
USC00012730          37S    30S    38S    28R    21S    28S    26R    26S    26S    28R    31S    43S
USC00012758          36S    34S    34S    26S    21S    26S    22S    27S    22S    22S    31S    39S
USC00012813          35C    28C    29C    23C    15C    19C    17C    17C    16C    18C    30C    37C
USC00012840          35R    39R    33R    32R    23R    31R    21R    30R    25R    27R    40R    50R
USC00012883          41R    36R    37R    26R    25R    29R    26R    33R    22R    27R    35R    44R
USC00013105          31R    28R    33R    26R    21R    23R    19R    25R    21R    23R    31R    41R
USC00013154          38S    38S    34S    31S    27S    27S    25S    32S    30S    28S    38S    46S
USC00013160          41S    39C    36S    28S    20C    27C    23S    30S    23S    23C    35C    43C
USC00013251          36S    33S    32S    25S    20S    26S    20S    19S    19S    19S    32S    42S
USC00013511          44R    35S    32C    25C    19C    25S    23C    28C    22S    25S    29S    50R
USC00013519          35S    36C    33C    27C    21C    26S    25S    27S    23S    25S    32S    41S
USC00013573          41R    39R    35R    30R    24R    26R    25R    30R    29R    26R    34R    44R
USC00013575          43R    38R    36R    26R    31R    27R    26R    32R    26R    25R    38R    46R
USC00013620          45S    38S    36S    33S    24S    29S    20S    38S    32S    33S    40S    46S
USC00013645          40C    38C    38C    33S    25S    28C    24C    38C    30C    30C    37C    46C
USC00013761          39S    31S    34S    28S    21S    29S    24C    25C    23S    23S    32C    43S
USC00013775          41S    37S    35S    29S    22S    27S    24S    28S    26S    25S    35S    45S
USC00013816          41S    35S    37S    27S    19S    30C    25S    27S    25S    23S    32S    43S
USC00014193          42S    34S    32S    27S    18S    22R    21S    26S    19S    20S    30S    41S
USC00014226          38R    36R    36R    29R    24R    29R    22R    34R    26R    26R    38R    46R
USC00014502          38R    35R    36R    26S    23R    29R    29R    26R    24R    26R    31R    46R
USC00014798          40S    45S    40S    28S    25S    31R    19R    30R    24S    34R    35S    42S
USC00015121          40C    35C    36C    28C    23C    27C    24C    28C    22C    25C    34C    45C
USC00015140          39R    29R    38R    22R    17R    31R    22R    26R    21R    25R    34R    42R
