USC00011694          35R    29R    30R    26R    21S    17S    15S    22S    20S    27R    31R    42R
USC00011725          38R    29R    29R    28R    22R    22R    18R    21R    22R    24S    33R    40R
USC00011803          35R    28R    29R    24R    18R    13R    11R    15R    19R    25R    35R    41R
USC00012096          42R    32R    30R    27R    25R    18R    15R    23R    20R    28R    32R    45R
USC00012172          35C    28C    25S    24S    16S    15S    12S    15S    13S    22S    30S    34S
USC00012245          39R    29R    28S    30R    21R    21R    15R    22R    20R    25R    27R    41R
USC00012675          36S    32S    32S    27S    20S    19S    16S    18S    17S    23S    33S    43R
USC00012730          35S    28S    33S    27R    21S    18S    16R    16S    16R    30R    30S    41S
USC00012758          37R    32R    32R    27R    20S    17S    14S    19S    16S    25S    32R    41R
USC00012813          36C    29C    28C    24C    16C    14C    12C    14C    13C    25C    33C    40C
USC00012840          38R    30R    27R    32R    27R    20R    13R    26R    20R    27R    33R    45R
USC00012883          42R    31R    30R    28R    25R    19R    16R    23R    19R    30R    29R    43R
USC00013105          36R    28R    30R    26R    17R    14R    13R    19R    16R    23R    30R    39R
USC00013154          37S    31S    31S    27S    26S    19S    17S    24S    22S    27S    34S    42S
USC00013160          36S    30S    31S    27S    21S    18S    15S    22S    19S    26S    30S    43S
USC00013251          38S    31S    29R    25S    20S    17S    13R    14S    16S    26S    33S    42S
USC00013511          39R    26S    27S    25S    20C    15S    15C    20C    19S    29S    29S    44R
USC00013519          35S    32C    29C    26C    22C    17S    15S    20S    18S    26S    32S    41S
USC00013573          39R    35R    30R    28R    22R    20R    17R    25R    22R    26R    30R    43R
USC00013575          41R    30R    30R    25R    27R    18R    17R    24R    19R    23R    32R    40R
USC00013620          43S    34S    35S    32S    25S    21S    14S    29S    25S    34S    35S    46S
USC00013645          40S    32S    30S    31S    25S    19S    16S    27S    22S    30S    32S    45S
USC00013761          38R    27R    28S    28S    21S    20S    16S    19S    16S    27S    33S    44R
USC00013775          38R    30R    30S    26S    24R    18S    16S    20S    18S    28R    31S    41R
USC00013816          40S    29S    32S    27S    19S    19C    15S    20S    19S    24S    31S    42S
USC00014193          38S    32S    28S    28S    17S    15R    13S    19S    17S    27S    30S    41S
USC00014226          37R    30R    30R    27R    24R    19R    15R    26R    21R    29R    32R    43R
USC00014502          37R    30R    30R    24S    25R    18R    15R    21R    20R    29R    30R    43R
USC00014798          37R    33R    32R    27R    24R    20R    11R    24R    20R    31R    31R    42R
USC00015121          38S    30S    31S    28S    23S    19S    15R    21R    20R    28S    32S    44S
USC00015140          36R    27R    30R    24R    22R    21R    14R    19R    16R    25R    31R    43R
USC00015439          38S    30S    31S    25C    24S    19S    15S    20R    18S    26R    33C    43R
USC00015553          35R    27R    29R    25R    20R    23R    16R    25R    23R    27R    30R    41R
USC00015635          41S    34S    29S    28S    23S    19S    16S    25S    21S    27S    31S    46S
USC00016121          42S    31S    27R    30R    24R    18R    16R    25S    21S    28R    33R    44R
USC00016129          37S    28S    31R    27R    23R    18R    16R    18R    17R    27S    31R    41S
USC00016478          38S    31S    30S    30S    26S    19S    17S    27S    23S    31S    33S    42S
USC00016988          39S    28S    31S    25S    19S    15S    11S    17S    16S    26S    31S    43S
USC00017020          36R    30R    28R    26R    21R    18R    16R    21R    17R    24R    31R    40R
